,Champion,Date,Days,Days recog.,Defences,Defenses,Event,Location,No.,Notes,Promotion,Ref.,Reign,Title_Name,Unnamed: 10_level_1,Unnamed: 9_level_1
47,Kane,"July 18, 2010",154,154,,,Money in the Bank,"Kansas City, MO",38,Cashed in his Money in the Bank contract which he had won earlier in the night.,WWE,[79],1,World_Heavyweight_Championship,,
48,Edge,"December 19, 2010",58,61,,,"TLC: Tables, Ladders & Chairs","Houston, TX",39,"This was a fatal four-way Tables, Ladders, and Chairs match, also involving Alberto Del Rio and Rey Mysterio.WWE recognizes Edge's reign as ending on February 18, 2011, when the following episode aired on tape delay.",WWE,[80],6,World_Heavyweight_Championship,,
49,Vacated,"February 15, 2011",—,—,,,SmackDown,"San Diego, CA",—,"Edge was stripped of the title by SmackDown General Manager Vickie Guerrero as a result of using the spear (which had been banned) in a previous match.Aired on tape delay on February 18, 2011.",WWE,[81],—,World_Heavyweight_Championship,,
50,Dolph Ziggler,"February 15, 2011",<1,<1,,,SmackDown,"San Diego, CA",40,"Awarded the title by SmackDown General Manager Vickie Guerrero.Aired on tape delay on February 18, 2011, the date WWE recognizes for the reign.",WWE,[81],1,World_Heavyweight_Championship,,
51,Edge,"February 15, 2011",56,55,,,SmackDown,"San Diego, CA",41,"WWE recognizes Edge's reign as beginning on February 18, 2011, and ending on April 15, 2011, both episodes of which aired on tape delay.",WWE,[82],7,World_Heavyweight_Championship,,
52,Vacated,"April 12, 2011",—,—,,,SmackDown,"Albany, NY",—,"Edge relinquished the title when he announced his immediate retirement as a result of being diagnosed with spinal stenosis.Aired on tape delay on April 15, 2011.",WWE,[83],—,World_Heavyweight_Championship,,
53,Christian,"May 1, 2011",2,5,,,Extreme Rules,"Tampa, FL",42,"Defeated Alberto Del Rio in a ladder match to win the vacant title.WWE recognizes Christian's reign as ending on May 6, 2011, when the following episode aired on tape delay.",WWE,[84],1,World_Heavyweight_Championship,,
54,Randy Orton,"May 3, 2011",75,72,,,SmackDown,"Orlando, FL",43,"WWE recognizes Orton's reign as beginning on May 6, 2011, when the episode aired on tape delay.",WWE,[85],2,World_Heavyweight_Championship,,
55,Christian,"July 17, 2011",28,28,,,Money in the Bank,"Rosemont, IL",44,Defeated Randy Orton by disqualification after being hit with a low-blow. The stipulations of the match allowed the title to change hands via disqualification.,WWE,[86][87],2,World_Heavyweight_Championship,,
56,Randy Orton,"August 14, 2011",35,35,,,SummerSlam,"Los Angeles, CA",45,"This was a No Holds Barred match. On August 29, 2011, the first brand extension ended, allowing the World Heavyweight Champion to appear on both Raw and SmackDown.",WWE,[88],3,World_Heavyweight_Championship,,
57,WWE (unbranded),WWE (unbranded),WWE (unbranded),WWE (unbranded),,,WWE (unbranded),WWE (unbranded),WWE (unbranded),WWE (unbranded),WWE,WWE (unbranded),WWE (unbranded),World_Heavyweight_Championship,WWE (unbranded),
58,Mark Henry,"September 18, 2011",91,92,,,Night of Champions,"Buffalo, NY",46,,WWE,[89],1,World_Heavyweight_Championship,,
59,Big Show,"December 18, 2011",<1,<1,,,"TLC: Tables, Ladders & Chairs","Baltimore, MD",47,This was a chairs match,WWE,[90],1,World_Heavyweight_Championship,,
60,Daniel Bryan,"December 18, 2011",105,105,,,"TLC: Tables, Ladders & Chairs","Baltimore, MD",48,Cashed in his Money in the Bank contract.,WWE,[91],1,World_Heavyweight_Championship,,
61,Sheamus,"April 1, 2012",210,211,,,WrestleMania XXVIII,"Miami, FL",49,,WWE,[92],1,World_Heavyweight_Championship,,
62,Big Show,"October 28, 2012",72,72,,,Hell in a Cell,"Atlanta, GA",50,,WWE,[93],2,World_Heavyweight_Championship,,
63,Alberto Del Rio,"January 8, 2013",90,90,,,SmackDown,"Miami, FL",51,"This was a Last Man Standing match.Aired on tape delay on January 11, 2013.",WWE,[94],1,World_Heavyweight_Championship,,
64,Dolph Ziggler,"April 8, 2013",69,70,,,Raw,"East Rutherford, NJ",52,Cashed in his Money in the Bank contract.,WWE,[95],2,World_Heavyweight_Championship,,
65,Alberto Del Rio,"June 16, 2013",133,134,,,Payback,"Rosemont, IL",53,,WWE,[96],2,World_Heavyweight_Championship,,
66,John Cena,"October 27, 2013",49,50,,,Hell in a Cell,"Miami, FL",54,,WWE,[97],3,World_Heavyweight_Championship,,
67,Randy Orton,"December 15, 2013",<1,<1,,,"TLC: Tables, Ladders & Chairs","Houston, TX",55,"This was a Tables, Ladders, and Chairs title unification match, in which Orton also defended his WWE Championship.",WWE,[98],4,World_Heavyweight_Championship,,
68,Unified,"December 15, 2013",—,—,,,"TLC: Tables, Ladders & Chairs","Houston, TX",—,Randy Orton defeated John Cena to unify the World Heavyweight Championship with the WWE Championship. The World Heavyweight Championship was retired and the WWE Championship became the WWE World Heavyweight Championship.,WWE,[99],—,World_Heavyweight_Championship,,
0,WWE,WWE,WWE,WWE,,,WWE,WWE,WWE,WWE,WWE,WWE,WWE,Raw_Womens_Championship,WWE,
1,Charlotte,"April 3, 2016",113,113,,,WrestleMania 32,"Arlington, TX",1,"On the WrestleMania 32 Kickoff pre-show, the title was established as the WWE Women's Championship to replace the WWE Divas Championship, which was originally to be defended in this match. Charlotte, who was the reigning Divas Champion, defeated Becky Lynch and Sasha Banks in a triple threat match to become the inaugural champion, subsequently retiring the Divas Championship. The title became exclusive to the Raw brand following the 2016 WWE Draft in July.",WWE,[2],1,Raw_Womens_Championship,,
2,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,,,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,WWE,WWE: Raw,WWE: Raw,Raw_Womens_Championship,WWE: Raw,
3,Sasha Banks,"July 25, 2016",27,26,,,Raw,"Pittsburgh, PA",2,,WWE,[3],1,Raw_Womens_Championship,,
4,Charlotte,"August 21, 2016",43,43,,,SummerSlam,"Brooklyn, NY",3,"The title was renamed as the Raw Women's Championship on September 5, 2016, following the creation of the SmackDown Women's Championship for the SmackDown brand.",WWE,[4],2,Raw_Womens_Championship,,
5,Sasha Banks,"October 3, 2016",27,27,,,Raw,"Los Angeles, CA",4,,WWE,[5],2,Raw_Womens_Championship,,
6,Charlotte Flair,"October 30, 2016",29,29,,,Hell in a Cell,"Boston, MA",5,"This was the first women's Hell in a Cell match and the first time women were the main event match of a WWE pay-per-view. During her reign, Charlotte's ring name was lengthened to Charlotte Flair.",WWE,[6],3,Raw_Womens_Championship,,
7,Sasha Banks,"November 28, 2016",20,19,,,Raw,"Charlotte, NC",6,This was a falls count anywhere match.,WWE,[7],3,Raw_Womens_Championship,,
8,Charlotte Flair,"December 18, 2016",57,57,,,Roadblock: End of the Line,"Pittsburgh, PA",7,"This was a 30-minute iron man match, which Flair won 3–2 in sudden death overtime. Additionally, regardless of winner, the loser could never challenge for the title as long as the other was champion.",WWE,[8],4,Raw_Womens_Championship,,
9,Bayley,"February 13, 2017",76,75,,,Raw,"Las Vegas, NV",8,,WWE,[9],1,Raw_Womens_Championship,,
10,Alexa Bliss,"April 30, 2017",112,111,,,Payback,"San Jose, CA",9,,WWE,[10],1,Raw_Womens_Championship,,
11,Sasha Banks,"August 20, 2017",8,8,,,SummerSlam,"Brooklyn, NY",10,,WWE,[11],4,Raw_Womens_Championship,,
12,Alexa Bliss,"August 28, 2017",223,222,,,Raw,"Memphis, TN",11,,WWE,[12],2,Raw_Womens_Championship,,
13,Nia Jax,"April 8, 2018",70,70,,,WrestleMania 34,"New Orleans, LA",12,,WWE,[13],1,Raw_Womens_Championship,,
14,Alexa Bliss,"June 17, 2018",63,63,,,Money in the Bank,"Rosemont, IL",13,This was Bliss' Money in the Bank cash-in match.,WWE,[14],3,Raw_Womens_Championship,,
15,Ronda Rousey,"August 19, 2018",232,231,,,SummerSlam,"Brooklyn, NY",14,,WWE,[15],1,Raw_Womens_Championship,,
16,Becky Lynch,"April 8, 2019",373,398,,,WrestleMania 35,"East Rutherford, NJ",15,"This was a winner takes all triple threat match for both the Raw Women's Championship and SmackDown Women's Championship, also involving Charlotte Flair, who defended the SmackDown Women's Championship. Lynch pinned Rousey to win both titles. WWE recognizes Lynch's reign as ending on May 10, 2020 due to tape delay.",WWE,[16],1,Raw_Womens_Championship,,
17,Asuka,"April 15, 2020",96,78,,,Money in the Bank,"Stamford, CT",16,"Defeated Carmella, Dana Brooke, Lacey Evans, Nia Jax, and Shayna Baszler in the women's Money in the Bank ladder match. The Money in the Bank briefcase was originally supposed to contain a guaranteed championship match contract, but on the May 11, 2020 episode of Raw, Becky Lynch announced that, due to being pregnant, she had forfeited the belt prior to the ladder match, and it was placed in the briefcase with the winner getting the title.WWE recognizes Asuka's reign as beginning on May 10, 2020 (when the Money in the Bank ladder match aired on tape delay) and ending on July 27, 2020 (also on tape delay).",WWE,[17][18],1,Raw_Womens_Championship,,
18,Sasha Banks,"July 20, 2020",34,26,,,Raw,"Orlando, FL",17,"Besides pinfall or submission, the title could also change hands by countout or disqualification; Banks won by countout.WWE recognizes Banks' reign as beginning on July 27, 2020, when the match aired on tape delay.",WWE,[19],5,Raw_Womens_Championship,,
19,Asuka,"August 23, 2020",231,231,,,SummerSlam,"Orlando, FL",18,,WWE,[20],2,Raw_Womens_Championship,,
20,Rhea Ripley,"April 11, 2021",98,97,,,WrestleMania 37Night 2,"Tampa, FL",19,,WWE,[21],1,Raw_Womens_Championship,,
21,Charlotte Flair,"July 18, 2021",1,1,,,Money in the Bank,"Fort Worth, TX",20,,WWE,[22],5,Raw_Womens_Championship,,
22,Nikki A.S.H.,"July 19, 2021",33,33,,,Raw,"Dallas, TX",21,This was Nikki A.S.H.'s Money in the Bank cash-in match.,WWE,[23],1,Raw_Womens_Championship,,
23,Charlotte Flair,"August 21, 2021",62,62,,,SummerSlam,"Paradise, NV",22,This was a triple threat match also involving Rhea Ripley.,WWE,[24],6,Raw_Womens_Championship,,
24,Becky Lynch,"October 22, 2021",123+,123+,,,SmackDown,"Wichita, KS",23,"As a result of the 2021 WWE Draft, then-SmackDown Women's Champion Becky Lynch was drafted to Raw while Charlotte Flair was drafted to SmackDown. To keep the titles on their respective brands, WWE official Sonya Deville had the two women exchange championships.",WWE,[25],2,Raw_Womens_Championship,,
0,National Wrestling Alliance (NWA) / Jim Crockett Promotions (JCP),National Wrestling Alliance (NWA) / Jim Crockett Promotions (JCP),National Wrestling Alliance (NWA) / Jim Crockett Promotions (JCP),National Wrestling Alliance (NWA) / Jim Crockett Promotions (JCP),,,National Wrestling Alliance (NWA) / Jim Crockett Promotions (JCP),National Wrestling Alliance (NWA) / Jim Crockett Promotions (JCP),National Wrestling Alliance (NWA) / Jim Crockett Promotions (JCP),National Wrestling Alliance (NWA) / Jim Crockett Promotions (JCP),WWE,National Wrestling Alliance (NWA) / Jim Crockett Promotions (JCP),National Wrestling Alliance (NWA) / Jim Crockett Promotions (JCP),US_Championship,National Wrestling Alliance (NWA) / Jim Crockett Promotions (JCP),
1,Harley Race,"January 1, 1975",183,183,,,House show,"Tallahassee, FL",1,Defeated Johnny Weaver in a tournament final to become the inaugural NWA United States Heavyweight Champion for Mid-Atlantic Championship Wrestling.,WWE,[6][4][7],1,US_Championship,,
2,Johnny Valentine,"July 3, 1975",93,93,,,House show,"Greensboro, NC",2,,WWE,[6][7],1,US_Championship,,
3,Vacated,"October 4, 1975",—,—,,,—,—,—,Vacated when Johnny Valentine suffered a career-ending injury in a plane crash.,WWE,[4][8][7],—,US_Championship,,
4,Terry Funk,"November 9, 1975",18,19,,,House show,"Greensboro, NC",3,Defeated Paul Jones in a tournament final for the vacant title.,WWE,[4][7],1,US_Championship,,
5,Paul Jones,"November 27, 1975",107,107,,,House show,"Greensboro, NC",4,,WWE,[6][7],1,US_Championship,,
6,Blackjack Mulligan,"March 13, 1976",217,218,,,House show,"Greensboro, NC",5,,WWE,[6][7],1,US_Championship,,
7,Paul Jones,"October 16, 1976",43,43,,,House show,"Greensboro, NC",6,"WWE recognizes Jones' reign as ending on November 28, 1976.",WWE,[6][7],2,US_Championship,,
8,Blackjack Mulligan,"November 28, 1976",11,—,,,House show,"Charlotte, NC",†,,WWE,[4][7],2,US_Championship,,
9,Paul Jones,"December 9, 1976",6,—,,,House show,"Winston-Salem, NC",†,,WWE,[4][7],3,US_Championship,,
10,Blackjack Mulligan,"December 15, 1976",204,204,,,House show,"Raleigh, NC",7,,WWE,[6][7],2(3),US_Championship,,
11,Bobo Brazil,"July 7, 1977",22,22,,,House show,"Norfolk, VA",8,,WWE,[6][7],1,US_Championship,,
12,Ric Flair,"July 29, 1977",84,84,,,House show,"Richmond, VA",9,,WWE,[6][7][9],1,US_Championship,,
13,Ricky Steamboat,"October 21, 1977",72,73,,,House show,"Charleston, SC",10,,WWE,[6][7],1,US_Championship,,
14,Blackjack Mulligan,"January 1, 1978",77,78,,,House show,"Greensboro, NC",11,,WWE,[4][6][7],3(4),US_Championship,,
15,Mr. Wrestling,"March 19, 1978",21,22,,,House show,"Greensboro, NC",12,,WWE,[6][7],1,US_Championship,,
16,Ric Flair,"April 9, 1978",253,253,,,House show,"Charlotte, NC",13,,WWE,[6][7],2,US_Championship,,
17,Ricky Steamboat,"December 17, 1978",105,105,,,House show,"Toronto, ON, Canada",14,,WWE,[6][7],2,US_Championship,,
18,Ric Flair,"April 1, 1979",133,134,,,House show,"Greensboro, NC",15,,WWE,[6][7],3,US_Championship,,
19,Vacated,"August 12, 1979",—,—,,,—,—,—,Vacated when Ric Flair won the NWA World Tag Team Championship four days prior.,WWE,[4][7],—,US_Championship,,
20,Jimmy Snuka,"September 1, 1979",231,233,,,House show,"Charlotte, NC",16,"Defeated Ricky Steamboat in a tournament final for the vacant title.WWE recognizes Snuka's reign as ending on April 20, 1980.",WWE,[4][10][7],1,US_Championship,,
21,Ric Flair,"April 19, 1980",98,98,,,House show,"Greensboro, NC",17,"WWE recognizes Flair's reign as beginning on April 20, 1980, although in reality, he won the title on April 19, 1980.",WWE,[6][10][7],4,US_Championship,,
22,Greg Valentine,"July 26, 1980",121,—,,,House show,"Charlotte, NC",†,,WWE,[4][7],1,US_Championship,,
23,Ric Flair,"November 24, 1980",64,—,,,House show,"Greenville, SC",†,"Although this reign is not recognized, a WWE.com article recognized Flair as a six-time champion.",WWE,[6][11][7],5,US_Championship,,
24,Roddy Piper,"January 27, 1981",193,194,,,House show,"Raleigh, NC",18,"The title became the undisputed NWA United States Heavyweight Championship in January 1981 after the NWA San Francisco office, the last other promotion to recognize its own United States Heavyweight Champion, closed.",WWE,[6][7],1,US_Championship,,
25,Wahoo McDaniel,"August 8, 1981",31,32,,,House show,"Greensboro, NC",19,,WWE,[6][7],1,US_Championship,,
26,Vacated,"September 8, 1981",—,—,,,—,—,—,Vacated when Wahoo McDaniel was injured by Abdullah the Butcher.,WWE,[12][7],—,US_Championship,,
27,Sgt. Slaughter,"October 4, 1981",229,229,,,House show,"Charlotte, NC",20,Defeated Ricky Steamboat in a tournament final for the vacant title.,WWE,[12][7],1,US_Championship,,
28,Wahoo McDaniel,"May 21, 1982",17,18,,,House show,"Richmond, VA",21,,WWE,[6][7],2,US_Championship,,
29,Sgt. Slaughter,"June 7, 1982",76,76,,,House show,"Greenville, SC",22,Awarded the title due to Wahoo McDaniel being injured by Don Muraco and Roddy Piper before the match.,WWE,[13][7],2,US_Championship,,
30,Wahoo McDaniel,"August 22, 1982",74,75,,,House show,"Charlotte, NC",23,,WWE,[6][7],3,US_Championship,,
31,Greg Valentine,"November 4, 1982",163,163,,,House show,"Norfolk, VA",24,,WWE,[6][7],1(2),US_Championship,,
32,Roddy Piper,"April 16, 1983",14,15,,,House show,"Greensboro, NC",25,,WWE,[6][7],2,US_Championship,,
33,Greg Valentine,"April 30, 1983",228,229,,,House show,"Greensboro, NC",26,Valentine won when Roddy Piper suffered a large cut over his left ear and the referee stopped the match.,WWE,[6][14][7],2(3),US_Championship,,
34,Dick Slater,"December 14, 1983",129,129,,,House show,"Shelby, NC",27,,WWE,[6],1,US_Championship,,
35,Ricky Steamboat,"April 21, 1984",64,64,,,House show,"Greensboro, NC",28,,WWE,[6],3,US_Championship,,
36,Wahoo McDaniel,"June 24, 1984",7,7,,,House show,"Greensboro, NC",29,,WWE,[6],4,US_Championship,,
37,Vacated,"July 1, 1984",—,—,,,—,—,—,Wahoo McDaniel was stripped of the title due to Tully Blanchard interfering in McDaniel's title defense.,WWE,[4],—,US_Championship,,
38,Wahoo McDaniel,"October 7, 1984",167,168,,,House show,"Charlotte, NC",30,Defeated Manny Fernandez in a tournament final for the vacant title.,WWE,[4],5,US_Championship,,
39,Magnum T.A.,"March 23, 1985",120,120,,,Worldwide Wrestling,"Charlotte, NC",31,,WWE,[15],1,US_Championship,,
40,Tully Blanchard,"July 21, 1985",130,130,,,House show,"Charlotte, NC",32,,WWE,[16],1,US_Championship,,
41,Magnum T.A.,"November 28, 1985",182,154,,,Starrcade,"Greensboro, NC",33,"This was an ""I Quit"" steel cage match.WWE recognizes Magnum T.A. as being stripped of the title on May 1, 1986.",WWE,[17][18],2,US_Championship,,
42,Vacated,"May 29, 1986",—,—,,,—,—,—,Magnum T.A. was stripped of the title for attacking NWA president Bob Geigel.,WWE,[17],—,US_Championship,,
43,Nikita Koloff,"August 17, 1986",328,328,,,House show,"Charlotte, NC",34,"Defeated Magnum T.A. in a best of seven series for the vacant title,[4][19] though WWE officially says it was a tournament final.[20]Koloff defeated Wahoo McDaniel on September 28, 1986 to unify the NWA National Heavyweight Championship into the U.S. title.[21]",WWE,[20],1,US_Championship,,
44,Lex Luger,"July 11, 1987",138,138,,,Great American Bash,"Greensboro, NC",35,This was a steel cage match.[22][23],WWE,[24],1,US_Championship,,
45,Dusty Rhodes,"November 26, 1987",141,141,,,Starrcade,"Chicago, IL",36,This was a steel cage match.[25],WWE,[26],1,US_Championship,,
46,Vacated,"April 15, 1988",—,—,,,—,—,—,Dusty Rhodes was stripped of the title for attacking NWA President Jim Crockett.,WWE,[4],—,US_Championship,,
47,Barry Windham,"May 13, 1988",283,283,,,House show,"Houston, TX",37,Defeated Nikita Koloff in a tournament final for the vacant title.,WWE,[27][28],1,US_Championship,,
48,National Wrestling Alliance (NWA) / World Championship Wrestling (WCW),National Wrestling Alliance (NWA) / World Championship Wrestling (WCW),National Wrestling Alliance (NWA) / World Championship Wrestling (WCW),National Wrestling Alliance (NWA) / World Championship Wrestling (WCW),,,National Wrestling Alliance (NWA) / World Championship Wrestling (WCW),National Wrestling Alliance (NWA) / World Championship Wrestling (WCW),National Wrestling Alliance (NWA) / World Championship Wrestling (WCW),National Wrestling Alliance (NWA) / World Championship Wrestling (WCW),WWE,National Wrestling Alliance (NWA) / World Championship Wrestling (WCW),National Wrestling Alliance (NWA) / World Championship Wrestling (WCW),US_Championship,National Wrestling Alliance (NWA) / World Championship Wrestling (WCW),
49,Lex Luger,"February 20, 1989",76,76,,,Chi-Town Rumble,"Chicago, IL",38,,WWE,[29],2,US_Championship,,
50,Michael Hayes,"May 7, 1989",15,15,,,WrestleWar,"Nashville, TN",39,,WWE,[30][31],1,US_Championship,,
51,Lex Luger,"May 22, 1989",523,523,,,House show,"Bluefield, WV",40,"Aired on NWA World Wide Wrestling on June 10, 1989.",WWE,,3,US_Championship,,
52,Stan Hansen,"October 27, 1990",50,50,,,Halloween Havoc,"Chicago, IL",41,,WWE,[32],1,US_Championship,,
53,Lex Luger,"December 16, 1990",210,210,,,Starrcade,"St. Louis, MO",42,"This was a Texas Bullrope match.During Luger's reign in 1991, World Championship Wrestling (WCW) split from the NWA and the title was renamed as the WCW United States Heavyweight Championship.",WWE,[33],4,US_Championship,,
54,World Championship Wrestling (WCW),World Championship Wrestling (WCW),World Championship Wrestling (WCW),World Championship Wrestling (WCW),,,World Championship Wrestling (WCW),World Championship Wrestling (WCW),World Championship Wrestling (WCW),World Championship Wrestling (WCW),WWE,World Championship Wrestling (WCW),World Championship Wrestling (WCW),US_Championship,World Championship Wrestling (WCW),
55,Vacated,"July 14, 1991",—,—,,,The Great American Bash,"Baltimore, MD",—,Vacated when Lex Luger won the WCW World Heavyweight Championship.,WWE,[33],—,US_Championship,,
56,Sting,"August 25, 1991",86,86,,,House show,"Atlanta, GA",43,Defeated Steve Austin in a tournament final for the vacant title.,WWE,[34],1,US_Championship,,
57,Rick Rude,"November 19, 1991",378,378,,,Clash of the Champions XVII,"Savannah, GA",44,,WWE,[35],1,US_Championship,,
58,Vacated,"December 1, 1992",—,—,,,—,—,—,Vacated due to Rick Rude suffering an injury.,WWE,[35],—,US_Championship,,
59,Dustin Rhodes,"January 11, 1993",138,138,,,Saturday Night,"Atlanta, GA",45,"Defeated Ricky Steamboat in a match that was originally made to determine the No. 1 contender. But, upon Rick Rude's vacating the title, the match was instead made to decide the new champion.Aired on tape delay on January 16, 1993.",WWE,[36],1,US_Championship,,
60,Vacated,"May 29, 1993",—,—,,,WCW Saturday Night,—,—,"The WCW Board of Directors announced the title had been held-up, several weeks after Rhodes' controversial title defense against Rick Rude that ended in Rude appearing to win via pinfall, and taking possession of the title belt, despite both wrestlers' shoulders being off the mat.",WWE,[36],—,US_Championship,,
61,Dustin Rhodes,"August 30, 1993",119,119,,,Saturday Night,"Atlanta, GA",46,"Defeated Rick Rude in a rematch for the vacant title.Aired on tape delay on September 11, 1993.",WWE,[37],2,US_Championship,,
62,Steve Austin,"December 27, 1993",240,240,,,Starrcade '93: 10th Anniversary,"Charlotte, NC",47,This was a two out of three falls match.[38],WWE,[39],1,US_Championship,,
63,Ricky Steamboat,"August 24, 1994",25,25,,,Clash of the Champions XXVIII,"Cedar Rapids, IA",48,,WWE,[40],4,US_Championship,,
64,Steve Austin,"September 18, 1994",<1,<1,,,Fall Brawl 1994: War Games,"Roanoke, VA",49,Awarded the title due to Ricky Steamboat being injured.,WWE,[41],2,US_Championship,,
65,Jim Duggan,"September 18, 1994",100,100,,,Fall Brawl 1994: War Games,"Roanoke, VA",50,,WWE,[42],1,US_Championship,,
66,Vader,"December 27, 1994",88,88,,,Starrcade,"Nashville, TN",51,,WWE,[43],1,US_Championship,,
67,Vacated,"March 25, 1995",—,—,,,Saturday Night,"Atlanta, GA",—,Vader was stripped of the title by WCW commissioner Nick Bockwinkel for hospitalizing Dave Sullivan one week prior.,WWE,[4],—,US_Championship,,
68,Sting,"June 18, 1995",148,148,,,The Great American Bash,"Dayton, OH",52,Defeated Meng in a tournament final for the vacant title.,WWE,[44],2,US_Championship,,
69,Kensuke Sasaki,"November 13, 1995",44,44,,,WCW World in Japan,"Tokyo, Japan",53,Won the title at a New Japan Pro-Wrestling event.,WWE,[45],1,US_Championship,,
70,One Man Gang,"December 27, 1995",33,33,,,Starrcade: World Cup of Wrestling,"Nashville, TN",54,"Won in a post-PPV dark match. Although the match was restarted and Kensuke Sasaki subsequently retained the title, it was never acknowledged by WCW, nor is it acknowledged by WWE.",WWE,[46],1,US_Championship,,
71,Konnan,"January 29, 1996",160,160,,,Main Event,"Canton, OH",55,,WWE,[47],1,US_Championship,,
72,Ric Flair,"July 7, 1996",141,141,,,Bash at the Beach,"Daytona Beach, FL",56,,WWE,[48],5(6),US_Championship,,
73,Vacated,"November 25, 1996",—,—,,,—,—,—,Vacated due to Ric Flair suffering a shoulder injury.,WWE,[48],—,US_Championship,,
74,Eddie Guerrero,"December 29, 1996",77,77,,,Starrcade,"Nashville, TN",57,Defeated Diamond Dallas Page in a tournament final for the vacant title.,WWE,[49],1,US_Championship,,
75,Dean Malenko,"March 16, 1997",85,85,,,Uncensored,"North Charleston, SC",58,,WWE,[50],1,US_Championship,,
76,Jeff Jarrett,"June 9, 1997",73,73,,,Nitro,"Boston, MA",59,,WWE,[50],1,US_Championship,,
77,Steve McMichael,"August 21, 1997",25,25,,,Clash of the Champions XXXV,"Nashville, TN",60,,WWE,[51],1,US_Championship,,
78,Curt Hennig,"September 15, 1997",104,104,,,Nitro,"Charlotte, NC",61,,WWE,[52],1,US_Championship,,
79,Diamond Dallas Page,"December 28, 1997",112,112,,,Starrcade,"Washington, D.C.",62,,WWE,[53],1,US_Championship,,
80,Raven,"April 19, 1998",1,1,,,Spring Stampede,"Denver, CO",63,"This was a ""Raven's Rules"" match.",WWE,[54],1,US_Championship,,
81,Goldberg,"April 20, 1998",77,90,,,Nitro,"Colorado Springs, CO",64,"This was a ""Raven's Rules"" match.WWE.com mistakenly lists Goldberg's reign as lasting 90 days, ending on July 20, 1998.",WWE,[55],1,US_Championship,,
82,Vacated,"July 6, 1998",—,—,,,Nitro,"Atlanta, GA",—,Vacated when Goldberg won the WCW World Heavyweight Championship.,WWE,[4],—,US_Championship,,
83,Bret Hart,"July 20, 1998",21,21,,,Nitro,"Salt Lake City, UT",65,Defeated Diamond Dallas Page for the vacant title.,WWE,[56][57],1,US_Championship,,
84,Lex Luger,"August 10, 1998",3,3,,,Nitro,"Rapid City, SD",66,,WWE,[58],5,US_Championship,,
85,Bret Hart,"August 13, 1998",74,74,,,Thunder,"Fargo, ND",67,,WWE,[59],2,US_Championship,,
86,Diamond Dallas Page,"October 26, 1998",35,35,,,Nitro,"Phoenix, AZ",68,,WWE,[60],2,US_Championship,,
87,Bret Hart,"November 30, 1998",70,70,,,Nitro,"Chattanooga, TN",69,This was a no disqualification match.,WWE,[61],3,US_Championship,,
88,Roddy Piper,"February 8, 1999",13,13,,,Nitro,"Buffalo, NY",70,,WWE,[62],3,US_Championship,,
89,Scott Hall,"February 21, 1999",25,25,,,SuperBrawl IX,"Oakland, CA",71,,WWE,[63],1,US_Championship,,
90,Vacated,"March 18, 1999",—,—,,,Thunder,"Lexington, KY",—,Scott Hall was stripped of the title by WCW President Ric Flair.,WWE,[63],—,US_Championship,,
91,Scott Steiner,"April 11, 1999",85,85,,,Spring Stampede,"Tacoma, WA",72,Defeated Booker T in a tournament final for the vacant title.,WWE,[64],1,US_Championship,,
92,Vacated,"July 5, 1999",—,—,,,Nitro,"Atlanta, GA",—,Scott Steiner was stripped of the title by WCW President Ric Flair.,WWE,[64],—,US_Championship,,
93,David Flair,"July 5, 1999",35,35,,,Nitro,"Atlanta, GA",73,Awarded the title by his father and WCW President Ric Flair.,WWE,[65],1,US_Championship,,
94,Chris Benoit,"August 9, 1999",34,34,,,Nitro,"Boise, ID",74,,WWE,[65],1,US_Championship,,
95,Sid Vicious,"September 12, 1999",42,42,,,Fall Brawl,"Winston-Salem, NC",75,,WWE,[66],1,US_Championship,,
96,Goldberg,"October 24, 1999",1,<1,,,Halloween Havoc,"Paradise, NV",76,Won the title when Sid Vicious suffered excessive bleeding and the referee stopped the match.,WWE,[66][67],2,US_Championship,,
97,Bret Hart,"October 25, 1999",14,14,,,Nitro,"Phoenix, AZ",77,,WWE,[68],4,US_Championship,,
98,Scott Hall,"November 8, 1999",41,41,,,Nitro,"Indianapolis, IN",78,"This was a four-way ladder match, also involving Sid Vicious and Goldberg.",WWE,[69],2,US_Championship,,
99,Chris Benoit,"December 19, 1999",1,1,,,Starrcade,"Washington, D.C.",79,Awarded the title when Scott Hall suffered a knee injury during the match.,WWE,[69],2,US_Championship,,
100,Jeff Jarrett,"December 20, 1999",27,27,,,Nitro,"Baltimore, MD",80,This was a ladder match.,WWE,[70],2,US_Championship,,
101,Vacated,"January 16, 2000",—,—,,,Souled Out,"Cincinnati, OH",—,Vacated due to Jeff Jarrett suffering an injury.,WWE,[70],—,US_Championship,,
102,Jeff Jarrett,"January 17, 2000",84,84,,,Nitro,"Columbus, OH",81,Awarded by WCW Commissioner Kevin Nash.,WWE,[71],3,US_Championship,,
103,Vacated,"April 10, 2000",—,—,,,Nitro,"Denver, CO",—,All WCW titles were declared vacant by Vince Russo and Eric Bischoff after WCW was rebooted.,WWE,[72],—,US_Championship,,
